DPCOEF,POROS,MMP,SOINIT,XKVH,SOLRAT,RF_1HCPV,RF_2HCPV
0.839,0.1,1750.423,0.443,0.1,6.383,3.17,4.059
0.855,0.101,1566.611,0.421,0.094,2.256,2.688,3.355
0.777,0.097,1535.561,0.392,0.091,3.651,2.577,3.548
0.849,0.098,1602.665,0.415,0.1,8.421,2.7,3.385
0.796,0.101,1582.151,0.394,0.09,4.883,2.553,3.452
0.833,0.107,1775.437,0.357,0.1,9.332,1.875,2.47
0.833,0.102,1590.321,0.399,0.094,6.551,2.504,3.228
0.818,0.103,1523.429,0.428,0.092,2.17,2.985,3.918
0.748,0.099,1731.66,0.426,0.1,9.825,3.328,4.616
0.871,0.097,1884.997,0.402,0.1,4.536,2.187,2.74
0.79,0.1,1648.347,0.389,0.088,4.951,2.465,3.368
0.768,0.104,1512.328,0.34,0.091,9.285,1.935,2.715
0.732,0.1,1507.332,0.383,0.098,9.024,2.668,3.769
0.826,0.104,1401.918,0.451,0.098,7.48,3.492,4.486
0.84,0.109,1417.952,0.414,0.095,2.082,2.607,3.336
0.72,0.094,1776.295,0.413,0.1,2.029,3.11,4.412
0.815,0.093,1431.786,0.417,0.1,3.426,2.823,3.725
0.775,0.095,1595.266,0.406,0.1,8.1,2.849,3.898
0.835,0.099,1666.895,0.403,0.094,8.68,2.534,3.268
0.766,0.095,1735.878,0.394,0.089,3.798,2.574,3.6
0.842,0.105,1475.581,0.394,0.094,2.63,2.33,2.973
0.798,0.092,1580.714,0.428,0.091,5.415,3.163,4.218
0.901,0.098,1512.759,0.39,0.087,9.431,2.218,2.469
0.759,0.096,1514.588,0.425,0.1,6.196,3.336,4.577
0.792,0.106,1533.861,0.424,0.1,7.864,3.157,4.224
0.753,0.102,1627.385,0.418,0.096,7.668,3.197,4.415
0.897,0.106,1354.625,0.349,0.1,8.833,1.853,2.062
0.882,0.108,1571.253,0.367,0.1,9.874,2.038,2.375
0.78,0.1,1483.383,0.384,0.089,9.842,2.468,3.396
0.837,0.097,1823.067,0.426,0.085,6.32,2.767,3.6
0.867,0.096,1625.94,0.429,0.1,4.668,2.816,3.437
0.821,0.097,1745.913,0.349,0.1,8.305,1.827,2.45
0.817,0.102,1487.681,0.384,0.087,7.621,2.366,3.122
0.778,0.093,1715.075,0.426,0.095,8.27,3.162,4.31
0.748,0.093,1573.241,0.378,0.1,4.4,2.466,3.468
0.888,0.101,1478.844,0.446,0.1,6.665,3.077,3.576
0.889,0.102,1692.694,0.397,0.1,3.482,2.226,2.611
0.833,0.102,1693.027,0.438,0.1,3.756,3.101,4.006
0.792,0.099,1872.794,0.392,0.095,4.954,2.307,3.228
0.793,0.104,1701.427,0.384,0.1,7.684,2.372,3.236
0.849,0.1,1461.704,0.387,0.1,4.436,2.272,2.86
0.888,0.095,1540.952,0.43,0.092,4.628,2.768,3.226
0.885,0.104,1585.151,0.385,0.1,8.393,2.204,2.563
0.859,0.107,1450.988,0.409,0.093,9.307,2.593,3.182
0.834,0.093,1704.672,0.395,0.09,8.72,2.383,3.095
0.746,0.099,1608.119,0.439,0.096,3.478,3.677,5.065
0.764,0.1,1800.005,0.368,0.091,5.662,2.121,3.022
0.888,0.095,1628.109,0.392,0.091,7.625,2.253,2.616
0.829,0.105,1606.95,0.364,0.086,7.697,2.065,2.695
0.715,0.098,1413.387,0.403,0.093,5.175,3.109,4.393
0.75,0.103,1463.958,0.391,0.095,5.364,2.705,3.785
0.838,0.102,1735.424,0.354,0.086,6.619,1.862,2.428
0.711,0.101,1859.033,0.426,0.1,7.424,3.416,4.834
0.763,0.096,1573.372,0.388,0.082,2.588,2.552,3.556
0.82,0.097,1715.109,0.397,0.096,7.158,2.457,3.252
0.843,0.093,1641.09,0.391,0.1,6.098,2.333,2.979
0.836,0.097,1814.155,0.397,0.1,2.304,2.245,2.977
0.775,0.098,1507.038,0.342,0.094,2.477,1.876,2.631
0.846,0.104,1613.767,0.422,0.1,3.595,2.776,3.515
0.777,0.099,1571.262,0.385,0.096,4.845,2.48,3.417
0.79,0.103,1612.787,0.414,0.1,8.086,2.933,3.954
0.852,0.099,1519.987,0.354,0.085,4.518,1.915,2.395
0.835,0.103,1599.323,0.399,0.09,8.107,2.507,3.219
0.875,0.108,1640.125,0.433,0.1,5.983,2.887,3.465
0.837,0.097,1420.908,0.39,0.087,3.675,2.316,2.98
0.823,0.105,1684.913,0.372,0.093,8.216,2.139,2.825
0.748,0.101,1670.161,0.36,0.1,7.778,2.177,3.084
0.796,0.104,1753.311,0.427,0.1,2.288,2.992,4.067
0.781,0.102,1576.865,0.377,0.1,7.88,2.36,3.242
0.778,0.099,1405.359,0.446,0.1,7.349,3.682,4.961
0.918,0.097,1588.207,0.377,0.075,5.004,2.044,2.171
0.799,0.094,1457.384,0.396,0.1,7.035,2.593,3.488
0.886,0.1,1648.088,0.395,0.094,3.212,2.22,2.609
0.832,0.109,1392.107,0.354,0.096,6.702,1.956,2.535
0.862,0.103,1559.46,0.4,0.084,3.381,2.376,2.922
0.813,0.098,1422.114,0.409,0.1,2.903,2.683,3.558
0.824,0.104,1324.616,0.415,0.1,3.606,2.698,3.536
0.812,0.103,1815.74,0.399,0.088,2.971,2.374,3.232
0.77,0.098,1873.598,0.422,0.1,2.99,2.919,4.098
0.848,0.092,1617.141,0.416,0.1,9.066,2.702,3.398
0.784,0.095,1507.393,0.372,0.1,9.193,2.282,3.138
0.725,0.105,1773.5,0.39,0.08,7.873,2.688,3.83
0.835,0.104,1782.299,0.366,0.094,8.258,1.959,2.575
0.767,0.098,1738.172,0.365,0.1,4.881,2.118,2.994
0.903,0.098,1613.62,0.413,0.1,6.352,2.476,2.779
0.908,0.104,1415.959,0.399,0.088,8.518,2.303,2.506
0.893,0.106,1426.171,0.404,0.099,5.913,2.384,2.71
0.796,0.103,1763.587,0.414,0.089,7.896,2.812,3.811
0.72,0.101,1750.497,0.38,0.1,5.387,2.534,3.621
0.898,0.097,1579.627,0.39,0.096,4.77,2.199,2.486
0.804,0.1,1543.039,0.405,0.073,8.775,2.721,3.634
0.915,0.097,1646.904,0.36,0.096,4.661,1.889,2.033
0.913,0.104,1713.607,0.424,0.099,5.805,2.557,2.826
0.876,0.099,1680.235,0.386,0.1,2.865,2.117,2.561
0.786,0.104,1636.957,0.408,0.1,6.079,2.837,3.854
0.798,0.099,1504.137,0.454,0.1,6.846,3.751,4.951
0.875,0.104,1517.373,0.396,0.099,5.125,2.329,2.774
0.789,0.098,1677.137,0.374,0.1,7.174,2.247,3.086
0.765,0.099,1711.51,0.374,0.1,5.531,2.293,3.219
0.821,0.101,1444.583,0.353,0.096,5.41,1.961,2.589
0.901,0.094,1483.612,0.417,0.1,5.381,2.536,2.848
0.843,0.107,1660.176,0.382,0.1,8.877,2.228,2.836
0.823,0.101,1564.608,0.37,0.1,7.821,2.154,2.825
0.749,0.1,1619.63,0.413,0.095,5.653,3.109,4.311
0.83,0.104,1636.688,0.383,0.089,7.11,2.282,2.968
0.931,0.105,1699.293,0.404,0.1,8.59,2.293,2.368
0.759,0.1,1712.995,0.392,0.09,5.648,2.6,3.638
