RUN,DPCOEF,POROS,MMP,SOINIT,SWINIT,XKVH,SORW,SORG,SORM,SGR,SSR,SWC,SWIR,KWRO,KRSMAX,W,oil_recovery_at_1hcpv,oil_recovery_at_2hcpv
235,0.96,0.108,1352.0,0.55,0.45,0.08,0.454,0.255,0.032,0.084,0.084,0.144,0.144,0.147,0.162,0.245,,
236,0.72,0.103,1746.0,0.559,0.441,0.04,0.266,0.336,0.051,0.1,0.1,0.124,0.124,0.124,0.19,0.583,11.83,16.56
237,0.37,0.104,1654.0,0.566,0.434,0.01,0.21,0.301,0.058,0.091,0.091,0.159,0.159,0.137,0.364,0.608,19.33,28.66
238,0.46,0.118,1391.0,0.434,0.566,0.03,0.255,0.163,0.075,0.068,0.068,0.147,0.147,0.263,0.343,0.764,11.14,18.12
239,0.36,0.116,1425.0,0.457,0.543,0.07,0.217,0.208,0.05,0.048,0.048,0.065,0.065,0.145,0.499,0.313,13.67,22.27
240,0.8,0.109,1367.0,0.596,0.404,0.02,0.489,0.208,0.046,0.025,0.025,0.166,0.166,0.407,0.467,0.591,12.87,16.39
241,0.92,0.093,1464.0,0.558,0.442,0.04,0.492,0.154,0.046,0.067,0.067,0.127,0.127,0.106,0.384,0.434,10.83,13.22
242,0.46,0.087,1845.0,0.507,0.493,0.05,0.249,0.203,0.086,0.071,0.071,0.101,0.101,0.361,0.104,0.597,13.2,20.4
243,0.42,0.104,1740.0,0.582,0.418,0.04,0.412,0.21,0.069,0.058,0.058,0.132,0.132,0.461,0.277,0.221,19.15,28.05
244,0.72,0.099,1555.0,0.46,0.54,0.09,0.449,0.208,0.036,0.012,0.012,0.111,0.111,0.353,0.581,0.672,8.97,13.23
245,0.53,0.113,1436.0,0.554,0.446,0.08,0.431,0.348,0.048,0.01,0.01,0.146,0.146,0.257,0.165,0.728,14.62,21.71
246,0.71,0.095,1581.0,0.493,0.507,0.08,0.355,0.257,0.075,0.086,0.086,0.101,0.101,0.35,0.364,0.693,9.71,14.33
