RUN,DPCOEF,POROS,MMP,SOINIT,SWINIT,XKVH,SORW,SORG,SORM,SGR,SSR,SWC,SWIR,KWRO,KRSMAX,W,oil_recovery_at_1hcpv,oil_recovery_at_2hcpv
81,0.66,0.111,1687.0,0.364,0.636,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.7,3.93
82,0.85,0.098,1598.0,0.465,0.535,0.03,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.61,4.53
83,0.67,0.065,1665.0,0.46,0.54,0.13,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,4.67,6.54
84,0.97,0.087,1368.0,0.366,0.634,0.15,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
85,0.93,0.109,1336.0,0.37,0.63,0.12,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.03,2.09
86,0.91,0.086,1308.0,0.454,0.546,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.23,3.54
87,0.82,0.08,1570.0,0.424,0.576,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.94,3.91
88,0.71,0.085,1344.0,0.393,0.607,0.1,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.94,4.12
89,0.71,0.078,1406.0,0.447,0.553,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,4.06,5.6
90,0.91,0.079,1459.0,0.452,0.548,0.09,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.21,3.5
91,0.71,0.089,1361.0,0.457,0.543,0.02,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,4.32,5.94
92,0.72,0.081,1748.0,0.378,0.622,0.04,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.66,3.72
93,0.75,0.086,1720.0,0.441,0.559,0.01,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.66,4.99
94,0.86,0.077,1819.0,0.384,0.616,0.09,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.14,2.72
95,0.77,0.074,1341.0,0.399,0.601,0.06,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.77,3.78
